"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MBNL2",3.62722113939454e-26,0.329200862832276,0.912,0.809,1.47791125324631e-21
"FHL2",3.7199656740078e-26,-0.520822257292701,0.12,0.288,1.51570001387448e-21
"PIGN",4.37977981776128e-26,0.399963628947015,0.748,0.622,1.78454128674683e-21
"PLEKHG4B",4.52952936842896e-26,-0.430788494476083,0.014,0.146,1.84555674116638e-21
"ANTXR1",4.79913378721269e-26,0.29359230531371,0.702,0.514,1.95540706159981e-21
"COMMD1",4.82583979959569e-26,0.308432755717941,0.908,0.815,1.96628842634526e-21
"LINC01102",4.85662250257171e-26,-0.402779356548966,0.072,0.236,1.97883083867284e-21
"EFNB3",4.89999599215308e-26,0.251537360759602,0.505,0.316,1.99650336700277e-21
"PAK5",4.95744537999862e-26,0.294776509614244,0.937,0.84,2.01991112008044e-21
"VOPP1",5.60102861266314e-26,0.265201402171917,0.829,0.659,2.2821391082296e-21
"SYNRG",5.71211938856932e-26,0.314098188372517,0.733,0.565,2.32740304487257e-21
"IGF2BP3",6.27491103583069e-26,-0.459443781272563,0.016,0.15,2.55671250154921e-21
"TMOD1",6.73556707055234e-26,-0.551079248689302,0.353,0.528,2.74440680289655e-21
"IPO8",6.84539332110238e-26,0.329590819716274,0.708,0.546,2.78915550868316e-21
"PLK5",6.91756030251955e-26,-0.303576552889113,0.088,0.252,2.81855994526159e-21
"DYNLL2",7.57746985488682e-26,0.30287917304859,0.589,0.407,3.08744009237364e-21
"TMEM233",7.58291580920996e-26,-0.366022945394898,0.011,0.142,3.0896590464626e-21
"JPH4",7.86695055021373e-26,0.256780694508399,0.957,0.843,3.20538900168458e-21
"LRIG1",7.8722496614828e-26,-0.463706084982864,0.119,0.287,3.20754812457117e-21
"TMSB15B-AS1",8.01640953816647e-26,0.424451324721027,0.671,0.53,3.26628606632593e-21
"KMT5B",8.0775077997582e-26,0.257278185757501,0.865,0.745,3.29118055301148e-21
"DOK5",8.19596841400379e-26,-0.545446094261766,0.377,0.564,3.33944733028584e-21
"FOXO1",8.2962943819059e-26,0.314967651188014,0.479,0.301,3.38032514590756e-21
"FAM169A",8.77096577241929e-26,0.275882347790697,0.895,0.778,3.57373000397224e-21
"MLLT1",8.81131162120373e-26,0.261492519212717,0.484,0.308,3.59016892005946e-21
"SPRY1",9.41227650703685e-26,-0.260497472388565,0.041,0.187,3.83503206279217e-21
"ZNF141",9.56150285794266e-26,0.327745448494577,0.601,0.435,3.89583433946874e-21
"PAXX",9.91378335840708e-26,-0.316807840969909,0.226,0.407,4.03937102938296e-21
"SLC25A17",1.01058303873452e-25,0.309789301990236,0.551,0.375,4.1176205913238e-21
"ARHGAP10",1.06990721046372e-25,0.415873728415115,0.462,0.289,4.35933692903445e-21
"SCAF8",1.1229375596443e-25,0.282880523784244,0.905,0.805,4.57540908677069e-21
"ATL2",1.12658825832672e-25,0.336504204353184,0.778,0.663,4.59028385855223e-21
"ARIH2",1.14397817291775e-25,0.262658079247381,0.833,0.684,4.66113906555337e-21
"PPP1R16B",1.14840154583203e-25,0.308879924621539,0.863,0.719,4.6791620984926e-21
"RAD50",1.15287137652263e-25,0.324913533350257,0.871,0.768,4.69737442364147e-21
"PCDH9",1.20765827232849e-25,-0.941016410050655,0.949,0.975,4.92060363060242e-21
"SLC30A7",1.20788929659662e-25,0.333642934996011,0.679,0.514,4.92154493898292e-21
"JADE1",1.22365617768307e-25,0.292030078766935,0.647,0.471,4.98578709596967e-21
"YEATS2",1.2279844980551e-25,-0.60927308490332,0.778,0.817,5.00342283732549e-21
"FAM20C",1.24593662225556e-25,0.385442806284097,0.474,0.31,5.07656876738028e-21
"FAXDC2",1.2939900187574e-25,-0.294285351598097,0.04,0.186,5.27236233142702e-21
"DNAJC21",1.33064979064478e-25,0.342005793422033,0.614,0.448,5.42173257198217e-21
"SNX8",1.34310632011259e-25,-0.404031224773001,0.244,0.422,5.47248670129876e-21
"TPT1",1.36034837331988e-25,-0.57465522797208,0.464,0.603,5.54273944709185e-21
"TAFA4",1.38434313159314e-25,-0.427914747591966,0.011,0.141,5.64050608967627e-21
"UPP2",1.43258037916262e-25,0.262242256058569,0.895,0.781,5.83704875489809e-21
"SRGAP1",1.45075360810349e-25,0.284446786604867,0.759,0.593,5.91109557621765e-21
"NEURL1",1.68659114433987e-25,0.296470958444178,0.829,0.663,6.87201561761281e-21
"ANGPTL1",1.88904778792252e-25,-0.37376621864765,0.2,0.379,7.69692521189029e-21
"CRACD",1.9836654878152e-25,-1.16586408873951,0.474,0.59,8.08244503010303e-21
"ACVR1",2.06642026248278e-25,0.443100705508223,0.611,0.446,8.41962935948607e-21
"PCDH15",2.17597842893814e-25,-0.592157691286247,0.412,0.609,8.86602410870844e-21
"TUSC3",2.19238016057333e-25,0.258173564014085,0.936,0.836,8.93285296425604e-21
"ABCB1",2.21331947193418e-25,-0.535737848001944,0.142,0.312,9.01817018839583e-21
"MKNK1",2.39629956493317e-25,-0.489650647837327,0.486,0.632,9.76372257732022e-21
"RNF216",2.50702410943769e-25,0.296528952286955,0.839,0.721,1.02148697339039e-20
"PROX1",2.67179696192027e-25,-0.538985774860241,0.009,0.135,1.08862367213441e-20
"XIAP",2.70513093031184e-25,0.27908445410421,0.724,0.54,1.10220559755556e-20
"BCO1",2.80089330917684e-25,-0.403556456517701,0.125,0.288,1.1412239788241e-20
"ZNF883",2.87472791680133e-25,0.305961912570795,0.687,0.521,1.1713078897007e-20
"PART1",3.01761003841594e-25,-0.73132836549885,0.01,0.136,1.22952521015257e-20
"ARHGAP24",3.02285852711139e-25,-0.59679293419086,0.058,0.212,1.23166370687154e-20
"SHISA9",3.17713520191378e-25,0.471305895862934,0.859,0.84,1.29452373801977e-20
"OCRL",3.23799004837459e-25,0.303774265370918,0.587,0.407,1.31931904521023e-20
"FANK1",3.24401238780048e-25,0.324864488575048,0.429,0.262,1.32177284740931e-20
"TGFBR3",3.60157471678118e-25,-0.397091818523619,0.074,0.232,1.46746161835249e-20
"SPRY2",3.66632609695313e-25,-0.356637148365784,0.131,0.301,1.49384456820355e-20
"NEK10",3.86772201353727e-25,0.29752992135279,0.937,0.831,1.57590333441576e-20
"SCARB1",3.8815937726005e-25,0.34031650992984,0.671,0.5,1.58155538264607e-20
"ARHGEF3",4.195599265913e-25,0.293412181318399,0.847,0.691,1.70949692089625e-20
"GPAT3",4.32784412692793e-25,0.296390675242281,0.161,0.063,1.76338008951678e-20
