"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CAP2",0,0.788490252829741,0.916,0.706,0
"CAPN8",0,0.285303844139206,0.137,0.036,0
"CAPS2",0,0.852360298428874,0.825,0.547,0
"CAPZA2",0,0.355323535975061,0.747,0.598,0
"CAPZB",0,0.423766810648702,0.804,0.678,0
"CARM1",0,0.298577425947601,0.482,0.33,0
"CARM1P1",0,1.17050761685499,0.35,0.059,0
"CARNMT1",0,0.611067873133556,0.74,0.487,0
"CARS2",0,0.304509646723234,0.622,0.475,0
"CASC15",0,0.492660979043518,0.757,0.568,0
"CASC2",0,0.33729321910199,0.602,0.429,0
"CASK",0,0.735606781480847,0.944,0.827,0
"CASP8AP2",0,0.310667336872887,0.6,0.451,0
"CATSPER2",0,0.548644220640446,0.858,0.681,0
"CATSPERE",0,0.418392645650649,0.491,0.305,0
"CBARP",0,0.252484528258139,0.419,0.266,0
"CBFA2T2",0,0.720044554964391,0.938,0.828,0
"CBL",0,0.423036497368257,0.705,0.53,0
"CBLN4",0,0.500370179976318,0.345,0.11,0
"CBR4",0,0.42058763815286,0.831,0.714,0
"CBX6",0,0.300437083887027,0.619,0.461,0
"CC2D1A",0,0.604632890949543,0.751,0.527,0
"CCBE1",0,0.935792425396185,0.539,0.226,0
"CCDC102B",0,0.472257651762361,0.671,0.469,0
"CCDC112",0,0.397958365830216,0.598,0.418,0
"CCDC138",0,0.556462296759471,0.766,0.553,0
"CCDC144A",0,0.71958589926108,0.644,0.385,0
"CCDC144B",0,0.334765192007436,0.42,0.262,0
"CCDC144NL",0,0.453641766032156,0.371,0.15,0
"CCDC144NL-AS1",0,0.91173997344832,0.584,0.25,0
"CCDC148",0,0.462782122808106,0.744,0.537,0
"CCDC158",0,0.269300527341503,0.207,0.064,0
"CCDC162P",0,0.528525424196394,0.494,0.245,0
"CCDC171",0,0.777210351058812,0.919,0.737,0
"CCDC18",0,0.313504478607033,0.451,0.283,0
"CCDC18-AS1",0,0.416302777757128,0.815,0.631,0
"CCDC191",0,0.342448134376903,0.67,0.489,0
"CCDC192",0,0.267288640204686,0.286,0.158,0
